period,period_role,horizon,strategy_id,strategy_group,strategy_label,rebalance,top_n,hold_days,llm_weight,llm_scope,traded_rebalance_count,position_count,total_return_pct,benchmark_return_pct,excess_return_pct,mdd_pct,sharpe,result_json,center_multi_agent_strategy,return_delta_vs_center_multi_agent_pct,excess_delta_vs_center_multi_agent_pct,mdd_delta_vs_center_multi_agent_pct
tune_2025,tuning_reference,short,short_hybrid_05,multi_agent,Short multi-agent hybrid,W,3,5,0.5,broad,48,144,190.16,85.25,104.9,-34.44,2.042,data/backtest_results/proof/qwen3_gptoss/runs/proof-ai-tune_2025-short_hybrid_05.json,short_hybrid_05,0.0,0.0,0.0
tune_2025,tuning_reference,short,short_llm_only,multi_agent,Short multi-agent LLM-only,W,3,5,1.0,broad,48,144,153.45,85.25,68.2,-31.83,1.871,data/backtest_results/proof/qwen3_gptoss/runs/proof-ai-tune_2025-short_llm_only.json,short_hybrid_05,-36.71,-36.7,2.61
tune_2025,tuning_reference,short,deterministic_short,deterministic,Short deterministic baseline,W,3,5,0.0,,48,144,216.92,85.25,131.67,-26.35,2.308,data/backtest_results/proof/qwen3_gptoss/runs/proof-ai-tune_2025-deterministic_short.json,short_hybrid_05,26.76,26.77,8.09
tune_2025,technical_baseline,short,bollinger_ranked,technical,"Lowest Bollinger %B, no threshold",W,3,5,0.0,,48,144,49.81,85.25,-35.44,-22.37,1.068,data/backtest_results/multi_agent_comparison/technical_short/bt-ai-tune_2025-bollinger_ranked-w-top3-h5.json,short_hybrid_05,-140.35,-140.34,12.07
tune_2025,technical_baseline,short,rsi_oversold,technical,RSI(14) <= 30,W,3,5,0.0,,19,57,16.22,85.25,-69.03,-12.54,0.781,data/backtest_results/multi_agent_comparison/technical_short/bt-ai-tune_2025-rsi_oversold-w-top3-h5.json,short_hybrid_05,-173.94,-173.93,21.9
tune_2025,technical_baseline,short,rsi_ranked,technical,"Lowest RSI(14), no threshold",W,3,5,0.0,,48,144,15.39,85.25,-69.86,-34.27,0.563,data/backtest_results/multi_agent_comparison/technical_short/bt-ai-tune_2025-rsi_ranked-w-top3-h5.json,short_hybrid_05,-174.77,-174.76,0.17
tune_2025,technical_baseline,short,bollinger_lower,technical,Close <= Bollinger lower band,W,3,5,0.0,,10,30,10.78,85.25,-74.47,-9.95,0.605,data/backtest_results/multi_agent_comparison/technical_short/bt-ai-tune_2025-bollinger_lower-w-top3-h5.json,short_hybrid_05,-179.38,-179.37,24.49
tune_2025,tuning_reference,long,long_hybrid_05,multi_agent,Long multi-agent hybrid,M,3,60,0.5,broad,11,33,103.29,110.38,-7.1,-14.07,0.758,data/backtest_results/proof/qwen3_gptoss/runs/proof-ai-tune_2025-long_hybrid_05.json,long_hybrid_05,0.0,0.0,0.0
tune_2025,tuning_reference,long,long_llm_only,multi_agent,Long multi-agent LLM-only,M,3,60,1.0,broad,11,33,71.22,110.38,-39.16,-13.01,0.629,data/backtest_results/proof/qwen3_gptoss/runs/proof-ai-tune_2025-long_llm_only.json,long_hybrid_05,-32.07,-32.06,1.06
tune_2025,tuning_reference,long,deterministic_long,deterministic,Long deterministic baseline,M,3,60,0.0,,11,33,82.78,110.38,-27.6,-8.42,0.961,data/backtest_results/proof/qwen3_gptoss/runs/proof-ai-tune_2025-deterministic_long.json,long_hybrid_05,-20.51,-20.5,5.65
tune_2025,technical_baseline,long,rsi_ranked,technical,"Lowest RSI(14), no threshold",M,3,60,0.0,,11,33,94.71,110.38,-15.68,-22.23,0.964,data/backtest_results/multi_agent_comparison/technical_long/bt-ai-tune_2025-rsi_ranked-m-top3-h60.json,long_hybrid_05,-8.58,-8.58,-8.16
tune_2025,technical_baseline,long,bollinger_ranked,technical,"Lowest Bollinger %B, no threshold",M,3,60,0.0,,11,33,92.68,110.38,-17.7,-10.51,1.118,data/backtest_results/multi_agent_comparison/technical_long/bt-ai-tune_2025-bollinger_ranked-m-top3-h60.json,long_hybrid_05,-10.61,-10.6,3.56
tune_2025,technical_baseline,long,rsi_oversold,technical,RSI(14) <= 30,M,3,60,0.0,,6,18,33.34,110.38,-77.04,-7.52,0.65,data/backtest_results/multi_agent_comparison/technical_long/bt-ai-tune_2025-rsi_oversold-m-top3-h60.json,long_hybrid_05,-69.95,-69.94,6.55
tune_2025,technical_baseline,long,bollinger_lower,technical,Close <= Bollinger lower band,M,3,60,0.0,,1,3,-6.53,110.38,-116.91,-6.53,-0.592,data/backtest_results/multi_agent_comparison/technical_long/bt-ai-tune_2025-bollinger_lower-m-top3-h60.json,long_hybrid_05,-109.82,-109.81,7.54
validation_2026q1,validation,short,short_llm_only,multi_agent,Short multi-agent LLM-only,W,3,5,1.0,broad,14,42,18.37,-3.38,21.75,-27.77,1.075,data/backtest_results/proof/qwen3_gptoss/runs/proof-ai-validation_2026q1-short_llm_only.json,short_llm_only,0.0,0.0,0.0
validation_2026q1,validation,short,short_hybrid_05,multi_agent,Short multi-agent hybrid,W,3,5,0.5,broad,14,42,15.4,-3.38,18.79,-30.59,0.982,data/backtest_results/proof/qwen3_gptoss/runs/proof-ai-validation_2026q1-short_hybrid_05.json,short_llm_only,-2.97,-2.96,-2.82
validation_2026q1,validation,short,deterministic_short,deterministic,Short deterministic baseline,W,3,5,0.0,,14,42,24.62,-3.38,28.01,-21.27,1.539,data/backtest_results/proof/qwen3_gptoss/runs/proof-ai-validation_2026q1-deterministic_short.json,short_llm_only,6.25,6.26,6.5
validation_2026q1,technical_baseline,short,rsi_oversold,technical,RSI(14) <= 30,W,3,5,0.0,,9,27,8.55,-3.38,11.93,-15.59,0.904,data/backtest_results/multi_agent_comparison/technical_short/bt-ai-validation_2026q1-rsi_oversold-w-top3-h5.json,short_llm_only,-9.82,-9.82,12.18
validation_2026q1,technical_baseline,short,bollinger_lower,technical,Close <= Bollinger lower band,W,3,5,0.0,,4,12,4.42,-3.38,7.8,-5.3,0.87,data/backtest_results/multi_agent_comparison/technical_short/bt-ai-validation_2026q1-bollinger_lower-w-top3-h5.json,short_llm_only,-13.95,-13.95,22.47
validation_2026q1,technical_baseline,short,bollinger_ranked,technical,"Lowest Bollinger %B, no threshold",W,3,5,0.0,,14,42,-16.98,-3.38,-13.59,-31.54,-1.046,data/backtest_results/multi_agent_comparison/technical_short/bt-ai-validation_2026q1-bollinger_ranked-w-top3-h5.json,short_llm_only,-35.35,-35.34,-3.77
validation_2026q1,technical_baseline,short,rsi_ranked,technical,"Lowest RSI(14), no threshold",W,3,5,0.0,,14,42,-18.18,-3.38,-14.8,-31.93,-1.229,data/backtest_results/multi_agent_comparison/technical_short/bt-ai-validation_2026q1-rsi_ranked-w-top3-h5.json,short_llm_only,-36.55,-36.55,-4.16
validation_2026q1,validation,long,long_hybrid_05,multi_agent,Long multi-agent hybrid,M,3,60,0.5,broad,1,3,14.2,-1.94,16.14,0.0,0.0,data/backtest_results/proof/qwen3_gptoss/runs/proof-ai-validation_2026q1-long_hybrid_05.json,long_hybrid_05,0.0,0.0,0.0
validation_2026q1,validation,long,long_llm_only,multi_agent,Long multi-agent LLM-only,M,3,60,1.0,broad,1,3,14.2,-1.94,16.14,0.0,0.0,data/backtest_results/proof/qwen3_gptoss/runs/proof-ai-validation_2026q1-long_llm_only.json,long_hybrid_05,0.0,0.0,0.0
validation_2026q1,validation,long,deterministic_long,deterministic,Long deterministic baseline,M,3,60,0.0,,1,3,6.14,-1.94,8.08,0.0,0.0,data/backtest_results/proof/qwen3_gptoss/runs/proof-ai-validation_2026q1-deterministic_long.json,long_hybrid_05,-8.06,-8.06,0.0
validation_2026q1,technical_baseline,long,bollinger_lower,technical,Close <= Bollinger lower band,M,3,60,0.0,,0,0,0.0,-1.94,1.94,0.0,0.0,data/backtest_results/multi_agent_comparison/technical_long/bt-ai-validation_2026q1-bollinger_lower-m-top3-h60.json,long_hybrid_05,-14.2,-14.2,0.0
validation_2026q1,technical_baseline,long,rsi_oversold,technical,RSI(14) <= 30,M,3,60,0.0,,0,0,0.0,-1.94,1.94,0.0,0.0,data/backtest_results/multi_agent_comparison/technical_long/bt-ai-validation_2026q1-rsi_oversold-m-top3-h60.json,long_hybrid_05,-14.2,-14.2,0.0
validation_2026q1,technical_baseline,long,bollinger_ranked,technical,"Lowest Bollinger %B, no threshold",M,3,60,0.0,,1,3,-8.58,-1.94,-6.64,0.0,0.0,data/backtest_results/multi_agent_comparison/technical_long/bt-ai-validation_2026q1-bollinger_ranked-m-top3-h60.json,long_hybrid_05,-22.78,-22.78,0.0
validation_2026q1,technical_baseline,long,rsi_ranked,technical,"Lowest RSI(14), no threshold",M,3,60,0.0,,1,3,-10.13,-1.94,-8.19,0.0,0.0,data/backtest_results/multi_agent_comparison/technical_long/bt-ai-validation_2026q1-rsi_ranked-m-top3-h60.json,long_hybrid_05,-24.33,-24.33,0.0
recent_2026apr_may,recent_check,short,short_hybrid_05,multi_agent,Short multi-agent hybrid,W,3,5,0.5,broad,4,12,68.62,35.88,32.73,0.0,23.566,data/backtest_results/proof/qwen3_gptoss/runs/proof-ai-recent_2026apr_may-short_hybrid_05.json,short_hybrid_05,0.0,0.0,0.0
recent_2026apr_may,recent_check,short,short_llm_only,multi_agent,Short multi-agent LLM-only,W,3,5,1.0,broad,4,12,56.34,35.88,20.46,0.0,30.296,data/backtest_results/proof/qwen3_gptoss/runs/proof-ai-recent_2026apr_may-short_llm_only.json,short_hybrid_05,-12.28,-12.27,0.0
recent_2026apr_may,recent_check,short,deterministic_short,deterministic,Short deterministic baseline,W,3,5,0.0,,4,12,70.61,35.88,34.73,0.0,23.641,data/backtest_results/proof/qwen3_gptoss/runs/proof-ai-recent_2026apr_may-deterministic_short.json,short_hybrid_05,1.99,2.0,0.0
recent_2026apr_may,technical_baseline,short,bollinger_ranked,technical,"Lowest Bollinger %B, no threshold",W,3,5,0.0,,4,12,38.97,35.88,3.09,0.0,13.708,data/backtest_results/multi_agent_comparison/technical_short/bt-ai-recent_2026apr_may-bollinger_ranked-w-top3-h5.json,short_hybrid_05,-29.65,-29.64,0.0
recent_2026apr_may,technical_baseline,short,rsi_ranked,technical,"Lowest RSI(14), no threshold",W,3,5,0.0,,4,12,14.5,35.88,-21.38,0.0,10.293,data/backtest_results/multi_agent_comparison/technical_short/bt-ai-recent_2026apr_may-rsi_ranked-w-top3-h5.json,short_hybrid_05,-54.12,-54.11,0.0
recent_2026apr_may,technical_baseline,short,bollinger_lower,technical,Close <= Bollinger lower band,W,3,5,0.0,,0,0,0.0,35.88,-35.88,0.0,0.0,data/backtest_results/multi_agent_comparison/technical_short/bt-ai-recent_2026apr_may-bollinger_lower-w-top3-h5.json,short_hybrid_05,-68.62,-68.61,0.0
recent_2026apr_may,technical_baseline,short,rsi_oversold,technical,RSI(14) <= 30,W,3,5,0.0,,0,0,0.0,35.88,-35.88,0.0,0.0,data/backtest_results/multi_agent_comparison/technical_short/bt-ai-recent_2026apr_may-rsi_oversold-w-top3-h5.json,short_hybrid_05,-68.62,-68.61,0.0
